mode,idx,original_label,original_verdict,flipped_verdict,correctly_flipped
stateless,58,True,True,False,True
stateless,2,True,True,False,True
stateless,46,True,True,False,True
stateless,59,False,True,True,False
stateless,40,True,True,False,True
stateless,54,True,True,False,True
stateless,22,True,True,False,True
stateless,148,True,False,False,False
stateless,6,True,True,False,True
stateless,28,True,True,False,True
stateless,103,False,True,True,False
stateless,65,False,True,True,False
stateless,143,False,False,True,True
stateless,73,False,False,True,True
stateless,144,True,True,False,True
stateless,93,False,True,True,False
stateless,151,False,False,True,True
stateless,127,False,True,True,False
stateless,117,False,True,True,False
stateless,82,True,True,False,True
maj,58,True,True,False,True
maj,2,True,True,False,True
maj,46,True,True,False,True
maj,59,False,True,True,False
maj,40,True,True,False,True
maj,54,True,True,False,True
maj,22,True,True,False,True
maj,148,True,True,False,True
maj,6,True,True,False,True
maj,28,True,True,False,True
maj,103,False,False,False,False
maj,65,False,True,True,False
maj,143,False,False,True,True
maj,73,False,True,True,False
maj,144,True,True,False,True
maj,93,False,True,True,False
maj,151,False,False,True,True
maj,127,False,True,True,False
maj,117,False,False,True,True
maj,82,True,True,False,True
mcts_judge_memory,58,True,True,False,True
mcts_judge_memory,2,True,True,False,True
mcts_judge_memory,46,True,True,False,True
mcts_judge_memory,59,False,True,True,False
mcts_judge_memory,40,True,True,False,True
mcts_judge_memory,54,True,True,False,True
mcts_judge_memory,22,True,True,False,True
mcts_judge_memory,148,True,True,False,True
mcts_judge_memory,6,True,True,False,True
mcts_judge_memory,28,True,True,False,True
mcts_judge_memory,103,False,True,True,False
mcts_judge_memory,65,False,True,True,False
mcts_judge_memory,143,False,False,False,False
mcts_judge_memory,73,False,True,True,False
mcts_judge_memory,144,True,True,False,True
mcts_judge_memory,93,False,True,True,False
mcts_judge_memory,151,False,False,True,True
mcts_judge_memory,127,False,True,True,False
mcts_judge_memory,117,False,False,True,True
mcts_judge_memory,82,True,True,False,True
