name,n,correct,accuracy,wilson_lo,wilson_hi,wilson_str,mean_latency_s
stateless,80,52,0.65,0.5408000664880765,0.7454544946512652,"0.650 [0.541, 0.745]",3.655499999999999
maj,80,51,0.6375,0.5281079450222216,0.7342920693555083,"0.637 [0.528, 0.734]",4.915125
mcts_judge,80,50,0.625,0.5154872546314301,0.7230582129846882,"0.625 [0.515, 0.723]",48.668124999999996
mcts_judge_memory,80,55,0.6875,0.5793222425531255,0.7784959588710518,"0.688 [0.579, 0.778]",40.31575
maj_oracle,80,45,0.5625,0.45341134296949726,0.6658613908385619,"0.562 [0.453, 0.666]",5.239875
mcts_judge_memory_oracle,80,56,0.7,0.5923184607866024,0.7893542873991866,"0.700 [0.592, 0.789]",53.36662500000001
maj_poison_10,80,44,0.55,0.4411950788935596,0.6542231081528878,"0.550 [0.441, 0.654]",4.561249999999999
maj_poison_20,80,43,0.5375,0.42904357591268794,0.6425200643721475,"0.537 [0.429, 0.643]",4.428625
maj_poison_50,80,47,0.5875,0.47804040345890164,0.6889414238723811,"0.588 [0.478, 0.689]",5.087000000000001
mcts_mem_poison_10,80,36,0.45,0.34577689184711224,0.5588049211064404,"0.450 [0.346, 0.559]",608.005875
mcts_mem_poison_20,80,59,0.7375,0.6318104033557183,0.8214259851149064,"0.738 [0.632, 0.821]",247.87912500000002
mcts_mem_poison_50,80,17,0.2125,0.13712386717696146,0.31422155730596657,"0.212 [0.137, 0.314]",70.44037499999999
defense_off,80,55,0.6875,0.5793222425531255,0.7784959588710518,"0.688 [0.579, 0.778]",
defense_on,80,52,0.65,0.5408000664880765,0.7454544946512652,"0.650 [0.541, 0.745]",
